Date : 2026-02-12 13:50:41
Directory : e:\dev\a2a-dotnet
Total : 163 files,  16478 codes, 3426 comments, 2956 blanks, all 22860 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\dev\a2a-dotnet\src\A2A\Client\JsonRpcContent.cs                                                           | C#       |         34 |         20 |          9 |         63 |
| e:\dev\a2a-dotnet\src\A2A\Extensions\AIContentExtensions.cs                                                  | C#       |        138 |         28 |         24 |        190 |
| e:\dev\a2a-dotnet\src\A2A\Extensions\AgentTaskExtensions.cs                                                  | C#       |         20 |          9 |          2 |         31 |
| e:\dev\a2a-dotnet\src\A2A\GlobalSuppressions.cs                                                              | C#       |          3 |          4 |          3 |         10 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\A2AMethods.cs                                                              | C#       |         13 |         34 |          9 |         56 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcError.cs                                                            | C#       |         18 |         23 |          6 |         47 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcId.cs                                                               | C#       |         65 |         84 |         21 |        170 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcRequest.cs                                                          | C#       |         15 |         23 |          6 |         44 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcRequestConverter.cs                                                 | C#       |        134 |         31 |         23 |        188 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcResponse.cs                                                         | C#       |        127 |         92 |         18 |        237 |
| e:\dev\a2a-dotnet\src\A2A\JsonRpc\MethodNotFoundError.cs                                                     | C#       |          9 |          6 |          1 |         16 |
| e:\dev\a2a-dotnet\src\A2A\KebabCaseLowerJsonStringEnumConverter.cs                                           | C#       |          8 |          4 |          3 |         15 |
| e:\dev\a2a-dotnet\src\A2A\Log.cs                                                                             | C#       |         16 |          0 |          5 |         21 |
| e:\dev\a2a-dotnet\src\A2A\Models\A2AEventKind.cs                                                             | C#       |          8 |         22 |          4 |         34 |
| e:\dev\a2a-dotnet\src\A2A\Models\A2AResponse.cs                                                              | C#       |         27 |         17 |          6 |         50 |
| e:\dev\a2a-dotnet\src\A2A\Models\AgentCapabilities.cs                                                        | C#       |         13 |         15 |          6 |         34 |
