"filename", "language", "XML", "YAML", "Markdown", "JSON", "Http", "C#", "comment", "blank", "total"
"e:\dev\a2a-dotnet\src\A2A\Client\A2ACardResolver.cs", "C#", 0, 0, 0, 0, 0, 64, 15, 15, 94
"e:\dev\a2a-dotnet\src\A2A\Client\A2AClient.cs", "C#", 0, 0, 0, 0, 0, 159, 15, 28, 202
"e:\dev\a2a-dotnet\src\A2A\Client\A2AClientExtensions.cs", "C#", 0, 0, 0, 0, 0, 111, 9, 13, 133
"e:\dev\a2a-dotnet\src\A2A\Client\IA2AClient.cs", "C#", 0, 0, 0, 0, 0, 12, 48, 9, 69
"e:\dev\a2a-dotnet\src\A2A\Client\JsonRpcContent.cs", "C#", 0, 0, 0, 0, 0, 34, 20, 9, 63
"e:\dev\a2a-dotnet\src\A2A\Extensions\AIContentExtensions.cs", "C#", 0, 0, 0, 0, 0, 138, 28, 24, 190
"e:\dev\a2a-dotnet\src\A2A\Extensions\AgentTaskExtensions.cs", "C#", 0, 0, 0, 0, 0, 20, 9, 2, 31
"e:\dev\a2a-dotnet\src\A2A\GlobalSuppressions.cs", "C#", 0, 0, 0, 0, 0, 3, 4, 3, 10
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\A2AMethods.cs", "C#", 0, 0, 0, 0, 0, 13, 34, 9, 56
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcError.cs", "C#", 0, 0, 0, 0, 0, 18, 23, 6, 47
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcId.cs", "C#", 0, 0, 0, 0, 0, 65, 84, 21, 170
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcRequest.cs", "C#", 0, 0, 0, 0, 0, 15, 23, 6, 44
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcRequestConverter.cs", "C#", 0, 0, 0, 0, 0, 134, 31, 23, 188
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\JsonRpcResponse.cs", "C#", 0, 0, 0, 0, 0, 127, 92, 18, 237
"e:\dev\a2a-dotnet\src\A2A\JsonRpc\MethodNotFoundError.cs", "C#", 0, 0, 0, 0, 0, 9, 6, 1, 16
"e:\dev\a2a-dotnet\src\A2A\KebabCaseLowerJsonStringEnumConverter.cs", "C#", 0, 0, 0, 0, 0, 8, 4, 3, 15
"e:\dev\a2a-dotnet\src\A2A\Log.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 5, 21
"e:\dev\a2a-dotnet\src\A2A\Models\A2AEventKind.cs", "C#", 0, 0, 0, 0, 0, 8, 22, 4, 34
"e:\dev\a2a-dotnet\src\A2A\Models\A2AResponse.cs", "C#", 0, 0, 0, 0, 0, 27, 17, 6, 50
"e:\dev\a2a-dotnet\src\A2A\Models\AgentCapabilities.cs", "C#", 0, 0, 0, 0, 0, 13, 15, 6, 34
"e:\dev\a2a-dotnet\src\A2A\Models\AgentCard.cs", "C#", 0, 0, 0, 0, 0, 51, 83, 20, 154
"e:\dev\a2a-dotnet\src\A2A\Models\AgentCardSignature.cs", "C#", 0, 0, 0, 0, 0, 13, 14, 4, 31
"e:\dev\a2a-dotnet\src\A2A\Models\AgentExtension.cs", "C#", 0, 0, 0, 0, 0, 15, 15, 6, 36
"e:\dev\a2a-dotnet\src\A2A\Models\AgentInterface.cs", "C#", 0, 0, 0, 0, 0, 11, 13, 3, 27
"e:\dev\a2a-dotnet\src\A2A\Models\AgentMessage.cs", "C#", 0, 0, 0, 0, 0, 31, 36, 10, 77
"e:\dev\a2a-dotnet\src\A2A\Models\AgentProvider.cs", "C#", 0, 0, 0, 0, 0, 11, 9, 4, 24
"e:\dev\a2a-dotnet\src\A2A\Models\AgentSkill.cs", "C#", 0, 0, 0, 0, 0, 25, 41, 10, 76
"e:\dev\a2a-dotnet\src\A2A\Models\AgentTask.cs", "C#", 0, 0, 0, 0, 0, 21, 21, 8, 50
"e:\dev\a2a-dotnet\src\A2A\Models\AgentTaskStatus.cs", "C#", 0, 0, 0, 0, 0, 12, 15, 4, 31
"e:\dev\a2a-dotnet\src\A2A\Models\AgentTransport.cs", "C#", 0, 0, 0, 0, 0, 47, 59, 15, 121
"e:\dev\a2a-dotnet\src\A2A\Models\Artifact.cs", "C#", 0, 0, 0, 0, 0, 20, 21, 7, 48
"e:\dev\a2a-dotnet\src\A2A\Models\DataPart.cs", "C#", 0, 0, 0, 0, 0, 9, 6, 2, 17
"e:\dev\a2a-dotnet\src\A2A\Models\FileContent.cs", "C#", 0, 0, 0, 0, 0, 67, 35, 18, 120
"e:\dev\a2a-dotnet\src\A2A\Models\FilePart.cs", "C#", 0, 0, 0, 0, 0, 8, 6, 2, 16
"e:\dev\a2a-dotnet\src\A2A\Models\GetTaskPushNotificationConfigParams.cs", "C#", 0, 0, 0, 0, 0, 13, 12, 5, 30
"e:\dev\a2a-dotnet\src\A2A\Models\MessageSendParams.cs", "C#", 0, 0, 0, 0, 0, 24, 30, 9, 63
"e:\dev\a2a-dotnet\src\A2A\Models\Part.cs", "C#", 0, 0, 0, 0, 0, 33, 28, 7, 68
"e:\dev\a2a-dotnet\src\A2A\Models\PartKind.cs", "C#", 0, 0, 0, 0, 0, 7, 18, 3, 28
"e:\dev\a2a-dotnet\src\A2A\Models\PushNotificationAuthenticationInfo.cs", "C#", 0, 0, 0, 0, 0, 10, 9, 3, 22
"e:\dev\a2a-dotnet\src\A2A\Models\PushNotificationConfig.cs", "C#", 0, 0, 0, 0, 0, 14, 15, 5, 34
"e:\dev\a2a-dotnet\src\A2A\Models\SecurityScheme.cs", "C#", 0, 0, 0, 0, 0, 106, 214, 21, 341
"e:\dev\a2a-dotnet\src\A2A\Models\TaskArtifactUpdateEvent.cs", "C#", 0, 0, 0, 0, 0, 11, 12, 4, 27
"e:\dev\a2a-dotnet\src\A2A\Models\TaskIdParams.cs", "C#", 0, 0, 0, 0, 0, 11, 9, 3, 23
"e:\dev\a2a-dotnet\src\A2A\Models\TaskPushNotificationConfig.cs", "C#", 0, 0, 0, 0, 0, 11, 9, 3, 23
"e:\dev\a2a-dotnet\src\A2A\Models\TaskQueryParams.cs", "C#", 0, 0, 0, 0, 0, 7, 6, 2, 15
"e:\dev\a2a-dotnet\src\A2A\Models\TaskState.cs", "C#", 0, 0, 0, 0, 0, 15, 30, 10, 55
"e:\dev\a2a-dotnet\src\A2A\Models\TaskStatusUpdateEvent.cs", "C#", 0, 0, 0, 0, 0, 10, 9, 3, 22
"e:\dev\a2a-dotnet\src\A2A\Models\TaskUpdateEvent.cs", "C#", 0, 0, 0, 0, 0, 13, 13, 5, 31
"e:\dev\a2a-dotnet\src\A2A\Models\TextPart.cs", "C#", 0, 0, 0, 0, 0, 8, 6, 2, 16
"e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Diagnostics\CodeAnalysis\UnconditionalSuppressMessageAttribute.cs", "C#", 0, 0, 0, 0, 0, 18, 60, 8, 86
"e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Runtime\CompilerServices\CompilerFeatureRequiredAttribute.cs", "C#", 0, 0, 0, 0, 0, 15, 14, 6, 35
"e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Runtime\CompilerServices\IsExternalInit.cs", "C#", 0, 0, 0, 0, 0, 4, 6, 2, 12
"e:\dev\a2a-dotnet\src\A2A\Polyfills\System\Runtime\CompilerServices\RequiredMemberAttribute.cs", "C#", 0, 0, 0, 0, 0, 5, 5, 3, 13
"e:\dev\a2a-dotnet\src\A2A\Server\ITaskManager.cs", "C#", 0, 0, 0, 0, 0, 19, 145, 16, 180
"e:\dev\a2a-dotnet\src\A2A\Server\ITaskStore.cs", "C#", 0, 0, 0, 0, 0, 10, 42, 6, 58
"e:\dev\a2a-dotnet\src\A2A\Server\InMemoryTaskStore.cs", "C#", 0, 0, 0, 0, 0, 98, 11, 24, 133
"e:\dev\a2a-dotnet\src\A2A\Server\TaskManager.cs", "C#", 0, 0, 0, 0, 0, 339, 55, 69, 463
"e:\dev\a2a-dotnet\src\A2A\Server\TaskUpdateEventEnumerator.cs", "C#", 0, 0, 0, 0, 0, 40, 17, 11, 68
"e:\dev\a2a-dotnet\src\A2A\openapi.yaml", "YAML", 0, 1022, 0, 0, 0, 0, 1, 5, 1028
"e:\dev\a2a-dotnet\src\Directory.Build.props", "XML", 19, 0, 0, 0, 0, 0, 0, 5, 24
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2A.AspNetCore.UnitTests.csproj", "XML", 33, 0, 0, 0, 0, 0, 1, 9, 43
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2AEndpointRouteBuilderExtensionsTests.cs", "C#", 0, 0, 0, 0, 0, 88, 14, 19, 121
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2AHttpProcessorTests.cs", "C#", 0, 0, 0, 0, 0, 130, 19, 24, 173
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\A2AJsonRpcProcessorTests.cs", "C#", 0, 0, 0, 0, 0, 403, 39, 101, 543
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\ClientTests.cs", "C#", 0, 0, 0, 0, 0, 152, 19, 32, 203
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\DistributedCacheTaskStoreTests.cs", "C#", 0, 0, 0, 0, 0, 215, 51, 66, 332
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\ProcessMessageTests.cs", "C#", 0, 0, 0, 0, 0, 0, 107, 6, 113
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\Properties\AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\a2a.json", "JSON", 0, 0, 0, 2045, 0, 0, 0, 2, 2047
"e:\dev\a2a-dotnet\tests\A2A.AspNetCore.UnitTests\specification.md", "Markdown", 0, 0, 1516, 0, 0, 0, 0, 293, 1809
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\A2A.UnitTests.csproj", "XML", 23, 0, 0, 0, 0, 0, 0, 7, 30
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Client\A2ACardResolverTests.cs", "C#", 0, 0, 0, 0, 0, 59, 7, 9, 75
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Client\A2AClientTests.cs", "C#", 0, 0, 0, 0, 0, 491, 50, 109, 650
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Client\JsonRpcContentTests.cs", "C#", 0, 0, 0, 0, 0, 67, 12, 17, 96
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\GitHubIssues\Issue160.cs", "C#", 0, 0, 0, 0, 0, 109, 0, 6, 115
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\A2AMethodsTests.cs", "C#", 0, 0, 0, 0, 0, 63, 15, 17, 95
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\ErrorTypesTests.cs", "C#", 0, 0, 0, 0, 0, 76, 18, 18, 112
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\JsonRpcErrorResponseTests.cs", "C#", 0, 0, 0, 0, 0, 55, 12, 14, 81
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\JsonRpcErrorTests.cs", "C#", 0, 0, 0, 0, 0, 26, 6, 9, 41
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\JsonRpcRequestConverterTests.cs", "C#", 0, 0, 0, 0, 0, 474, 66, 97, 637
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\JsonRpc\MethodNotFoundErrorTests.cs", "C#", 0, 0, 0, 0, 0, 11, 2, 3, 16
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\MockHttpMessageHandler.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 3, 19
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\A2AEventTests.cs", "C#", 0, 0, 0, 0, 0, 245, 22, 26, 293
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\A2AResponseTests.cs", "C#", 0, 0, 0, 0, 0, 202, 20, 23, 245
"e:\dev\a2a-dotnet\tests\A2A.UnitTests\Models\AIContentExtensionsTests.cs", "C#", 0, 0, 0, 0, 0, 216, 1, 30, 247
